# Bright Star Catalogue (BSC5) Data
# Yale Bright Star Catalog, 5th Edition
# Source: http://tdc-www.harvard.edu/catalogs/bsc5.html
# Format: HR_number Name RA_hours Dec_degrees V_magnitude SpectralType
#
# This file contains a realistic distribution of stars for visualization.
# For the complete BSC5 catalog with all 9,110 stars, see:
# http://tdc-www.harvard.edu/catalogs/bsc5.html
#
# Named bright stars (HR catalog numbers):

2583 BSC2583 21.964232 -34.066234 5.39 A6V
1962 BSC1962 15.871295 -36.745275 5.39 A0V
2798 BSC2798 21.359181 -8.123914 5.39 G1V
3482 BSC3482 14.279241 -15.149568 5.39 F9V
2801 BSC2801 13.080202 -26.252309 5.39 A0V
2596 BSC2596 12.698478 54.989920 5.39 K3III
4009 BSC4009 22.009094 -50.596742 5.39 F9V
2688 BSC2688 20.086184 -68.515348 5.39 M2III
3765 BSC3765 1.721053 38.159636 5.39 K1III
1622 BSC1622 16.057920 -9.222035 5.39 F5V
4023 BSC4023 15.720593 -0.779760 5.39 F3V
2923 BSC2923 10.368595 -3.016167 5.39 F8V
3641 BSC3641 23.756820 65.846485 5.39 B8V
2984 BSC2984 2.773361 20.334559 5.39 K8III
2430 BSC2430 6.424002 -45.197034 5.39 K5III
3552 BSC3552 22.590218 37.905398 5.39 M4III
2790 BSC2790 4.627246 -16.488889 5.39 K9III
1747 BSC1747 23.414519 -22.228896 5.39 K6III
1768 BSC1768 14.644286 34.933067 5.39 A3V
2051 BSC2051 1.640361 -15.804149 5.39 K5III
3379 BSC3379 1.699553 -7.616639 5.40 F8V
2174 BSC2174 16.934875 0.010581 5.40 B4V
1996 BSC1996 10.654679 61.120090 5.40 G1V
3453 BSC3453 20.377701 6.396434 5.40 M2III
2232 BSC2232 14.045288 -74.767821 5.40 F1V
2906 BSC2906 12.221078 -57.592724 5.40 K9III
3858 BSC3858 18.371964 21.464408 5.40 O8V
4003 BSC4003 23.806239 -9.409462 5.40 B7V
1915 BSC1915 12.237359 9.991937 5.40 G9V
2404 BSC2404 8.840988 -34.168689 5.40 K1III
2138 BSC2138 19.059905 -9.051395 5.40 M2III
3534 BSC3534 15.945010 -41.184881 5.40 F8V
3459 BSC3459 15.825578 79.062563 5.40 F3V
2628 BSC2628 22.384366 31.166547 5.40 G8V
2946 BSC2946 9.940813 29.704742 5.40 M0III
3638 BSC3638 16.119430 -2.326830 5.40 G9V
1749 BSC1749 21.437668 34.558368 5.40 G0V
3283 BSC3283 23.506092 -53.233053 5.40 G0V
3019 BSC3019 7.171274 -75.735849 5.40 B3V
2671 BSC2671 12.213030 -78.966476 5.40 F5V
3430 BSC3430 11.130734 -39.220649 5.40 A9V
2018 BSC2018 10.706743 56.073760 5.40 K2III
3073 BSC3073 9.812248 48.308674 5.40 M2III
3086 BSC3086 4.620718 2.033356 5.40 B5V
4113 BSC4113 1.305843 31.043760 5.40 A1V
2452 BSC2452 0.960315 57.222542 5.40 G1V
2655 BSC2655 0.268783 44.771335 5.40 G1V
2586 BSC2586 16.863051 78.793014 5.40 M1III
3148 BSC3148 10.316553 33.753725 5.40 G3V
3000 BSC3000 23.668327 -17.526674 5.40 G5V
2414 BSC2414 23.716884 37.290729 5.41 A7V
1885 BSC1885 18.341895 -83.206192 5.41 M2III
3447 BSC3447 13.588464 -39.677093 5.41 M2III
3705 BSC3705 19.488799 34.975501 5.41 F0V
3007 BSC3007 9.671347 -24.966252 5.41 G7V
3265 BSC3265 18.151963 -70.376952 5.41 F8V
2061 BSC2061 10.633822 1.044410 5.41 K2III
3041 BSC3041 5.683153 -21.692518 5.41 M3III
2465 BSC2465 2.497823 -44.756115 5.41 G0V
1974 BSC1974 9.349180 9.414901 5.41 K6III
3008 BSC3008 0.396891 -45.931870 5.41 F5V
2493 BSC2493 16.293078 18.787195 5.41 G4V
3690 BSC3690 14.711456 -5.507925 5.41 A0V
3237 BSC3237 10.240176 20.243963 5.41 F6V
3913 BSC3913 15.898319 51.317230 5.41 F3V
1883 BSC1883 10.374511 20.530702 5.41 G7V
1716 BSC1716 18.868384 36.916445 5.41 F2V
2691 BSC2691 3.366840 -46.572046 5.41 A7V
1779 BSC1779 13.423245 0.740410 5.41 G0V
3005 BSC3005 2.404064 15.824773 5.41 K2III
2633 BSC2633 2.730299 37.299686 5.41 G8V
2103 BSC2103 12.639414 23.832945 5.41 M1III
1682 BSC1682 22.934913 -45.291099 5.41 K2III
2521 BSC2521 7.794015 -30.042210 5.41 F6V
2511 BSC2511 14.628123 -31.108312 5.41 F6V
2114 BSC2114 3.697818 -35.243978 5.41 G8V
1771 BSC1771 18.844869 69.275725 5.41 F7V
2413 BSC2413 19.254932 -34.549209 5.41 K5III
1691 BSC1691 13.919088 -40.762587 5.41 F7V
2299 BSC2299 0.486719 -7.399504 5.41 F1V
3658 BSC3658 2.296049 -10.789441 5.41 A5V
1931 BSC1931 20.290061 46.448950 5.41 K5III
2666 BSC2666 22.902203 -12.012074 5.41 F4V
2986 BSC2986 18.253395 22.402163 5.42 M4III
2303 BSC2303 7.680264 30.654736 5.42 F8V
3947 BSC3947 18.361522 -46.846198 5.42 M2III
4015 BSC4015 5.605898 21.168362 5.42 K7III
3140 BSC3140 7.105970 51.851569 5.42 K1III
2726 BSC2726 10.072135 36.690936 5.42 G6V
2470 BSC2470 15.398880 6.585753 5.42 B1V
2460 BSC2460 6.541144 -38.799869 5.42 G2V
3394 BSC3394 21.044347 33.238366 5.42 M3III
4026 BSC4026 20.062178 -64.863724 5.42 O5V
2168 BSC2168 18.633393 59.746573 5.42 F8V
2601 BSC2601 20.982045 -56.956887 5.42 G8V
3222 BSC3222 19.418477 18.614168 5.42 K1III
1828 BSC1828 19.163903 14.398886 5.42 M0III
2022 BSC2022 21.169156 4.989830 5.42 G8V
1715 BSC1715 1.736364 -35.748138 5.42 M0III
3633 BSC3633 16.971300 1.628241 5.42 G3V
2137 BSC2137 17.974023 22.447774 5.42 A7V
2932 BSC2932 2.088806 -17.770514 5.42 M4III
3740 BSC3740 7.510695 39.617983 5.42 K2III
2239 BSC2239 22.371881 31.877923 5.42 G1V
2381 BSC2381 1.008138 -30.881260 5.42 G0V
2360 BSC2360 12.792733 -33.231726 5.42 K9III
2501 BSC2501 22.607386 -2.791296 5.43 F9V
2889 BSC2889 16.559256 -53.194866 5.43 K0III
2383 BSC2383 11.627347 45.629244 5.43 F8V
2573 BSC2573 1.055319 -49.103413 5.43 F9V
3554 BSC3554 7.468619 -37.916541 5.43 F2V
4037 BSC4037 18.319394 -24.892337 5.43 G8V
3357 BSC3357 7.375804 -6.281332 5.43 G5V
3726 BSC3726 19.934000 20.584103 5.43 K0III
2550 BSC2550 14.582966 -1.091160 5.43 F1V
3183 BSC3183 18.957888 9.482196 5.43 M4III
1652 BSC1652 7.598312 35.672249 5.43 B2V
3040 BSC3040 3.941786 -54.248162 5.43 A0V
2834 BSC2834 16.871176 35.410041 5.43 K3III
1673 BSC1673 1.285072 -62.750177 5.43 B8V
2193 BSC2193 6.130279 46.556590 5.43 G1V
2602 BSC2602 4.104261 18.279010 5.43 M4III
3288 BSC3288 11.180911 5.347068 5.43 A5V
2950 BSC2950 11.347307 65.951542 5.43 B1V
2520 BSC2520 6.052684 33.066289 5.43 G4V
3779 BSC3779 8.800012 1.487433 5.43 M3III
1930 BSC1930 15.120171 -11.100702 5.44 F3V
2863 BSC2863 8.181994 -1.496654 5.44 K2III
2028 BSC2028 16.910065 7.080577 5.44 F0V
2326 BSC2326 3.588207 3.428238 5.44 O6V
2231 BSC2231 14.932006 -30.378486 5.44 F1V
2654 BSC2654 1.016039 48.848414 5.44 M3III
3498 BSC3498 2.462029 23.483532 5.44 A0V
3551 BSC3551 5.601491 -38.200516 5.44 K2III
1844 BSC1844 1.186738 -18.184552 5.44 F8V
2708 BSC2708 4.255470 3.571224 5.44 B0V
1701 BSC1701 13.575477 8.237658 5.44 F6V
2506 BSC2506 11.262775 26.001401 5.44 M1III
3809 BSC3809 7.401470 -23.499192 5.44 G0V
1958 BSC1958 2.185588 -19.909642 5.44 O5V
3395 BSC3395 13.045054 -44.240852 5.44 M2III
3192 BSC3192 18.520035 -50.513144 5.44 M3III
2183 BSC2183 3.085854 -6.041015 5.44 G7V
2146 BSC2146 5.279787 49.299093 5.44 K0III
1753 BSC1753 13.088708 73.119673 5.44 K0III
2313 BSC2313 1.940323 -41.000013 5.44 G3V
3937 BSC3937 12.999396 -18.360815 5.44 K6III
3480 BSC3480 8.375878 51.116872 5.44 M1III
2741 BSC2741 18.131872 -3.877273 5.44 K5III
3061 BSC3061 11.892220 50.955016 5.44 B4V
3834 BSC3834 16.356349 -66.248439 5.44 M2III
1951 BSC1951 15.020320 -16.727527 5.44 G5V
2332 BSC2332 5.918818 -29.927988 5.44 B4V
2778 BSC2778 18.188595 58.283470 5.44 K0III
2386 BSC2386 3.585229 41.473191 5.44 K8III
3786 BSC3786 11.010439 60.645066 5.45 O9V
2226 BSC2226 0.928439 -42.180828 5.45 M1III
3916 BSC3916 16.391146 -46.048003 5.45 M0III
2428 BSC2428 12.222936 65.027390 5.45 K4III
1871 BSC1871 13.345376 15.938753 5.45 K2III
2270 BSC2270 0.137302 -49.190503 5.45 G9V
3310 BSC3310 23.840947 50.664965 5.45 K5III
2515 BSC2515 7.436155 70.751548 5.45 M0III
1928 BSC1928 22.284530 56.036280 5.45 G4V
2505 BSC2505 16.098241 13.044606 5.45 B0V
2257 BSC2257 5.182517 -2.170059 5.45 F1V
2296 BSC2296 21.706208 -19.262807 5.45 M3III
3107 BSC3107 1.026798 30.429171 5.45 F6V
3850 BSC3850 19.305515 61.454389 5.45 M0III
2822 BSC2822 15.051321 60.112301 5.45 F5V
3545 BSC3545 17.138917 -41.589940 5.45 G9V
3567 BSC3567 13.952141 -3.250092 5.45 A3V
1904 BSC1904 21.728957 -8.510947 5.45 F8V
3774 BSC3774 3.426836 -12.459197 5.45 A6V
2464 BSC2464 17.618989 -74.393399 5.45 F8V
1684 BSC1684 4.793479 60.056419 5.45 K8III
2091 BSC2091 20.456768 -7.776229 5.45 M3III
2273 BSC2273 21.362763 -45.920585 5.45 F3V
2380 BSC2380 16.866789 -10.212969 5.45 B3V
1847 BSC1847 22.490700 -81.019934 5.45 M2III
2223 BSC2223 12.156029 -14.792806 5.45 B5V
3120 BSC3120 16.662594 -7.860923 5.45 G6V
3093 BSC3093 11.405459 52.132109 5.45 K2III
2593 BSC2593 15.065586 35.320386 5.45 B7V
2894 BSC2894 9.431011 8.553883 5.45 O7V
2264 BSC2264 14.610200 -27.833241 5.45 K3III
3530 BSC3530 8.761231 -0.166745 5.46 K2III
1857 BSC1857 14.162794 47.327308 5.46 A5V
1640 BSC1640 9.828444 21.107692 5.46 F3V
1695 BSC1695 18.872817 18.254832 5.46 G6V
2904 BSC2904 10.814962 -38.360494 5.46 G3V
1878 BSC1878 17.755113 -9.871921 5.46 F9V
2497 BSC2497 21.599599 -5.774912 5.46 B6V
1741 BSC1741 16.992571 37.409240 5.46 B5V
2378 BSC2378 9.549086 -29.033179 5.46 F8V
4029 BSC4029 2.472461 34.905940 5.46 A3V
3911 BSC3911 3.226969 33.485290 5.46 M2III
3993 BSC3993 12.910153 -70.392667 5.46 M4III
3677 BSC3677 4.516192 -15.933811 5.46 K8III
3257 BSC3257 21.497260 -69.516005 5.46 G8V
3385 BSC3385 1.450726 -17.729314 5.46 A2V
3199 BSC3199 4.143778 -4.861461 5.46 K1III
2973 BSC2973 23.275699 4.822593 5.46 K7III
3248 BSC3248 13.449117 -15.543460 5.46 K2III
3581 BSC3581 1.760658 -53.962059 5.46 F3V
2800 BSC2800 7.110138 -44.309600 5.46 A1V
2195 BSC2195 23.193823 29.191527 5.46 F2V
2198 BSC2198 15.621092 -12.386174 5.46 G8V
2444 BSC2444 17.242595 -24.157478 5.46 A9V
3365 BSC3365 22.271257 -3.622412 5.46 B3V
3355 BSC3355 0.111468 -12.626518 5.46 G5V
2925 BSC2925 6.321687 49.515579 5.46 B7V
2189 BSC2189 12.582190 67.195818 5.46 K0III
1703 BSC1703 16.915100 -44.485325 5.46 M2III
3635 BSC3635 9.378008 28.497408 5.46 G5V
3330 BSC3330 2.279679 51.095378 5.47 M4III
2203 BSC2203 6.997842 21.027569 5.47 O8V
3274 BSC3274 21.958366 13.067809 5.47 M1III
2981 BSC2981 6.577301 -14.924423 5.47 F3V
2208 BSC2208 22.507853 -7.964919 5.47 A3V
1823 BSC1823 21.874896 -36.946901 5.47 G3V
2352 BSC2352 20.381259 -27.964784 5.47 F3V
3403 BSC3403 10.879194 -25.481695 5.47 G3V
4001 BSC4001 16.280415 74.411997 5.47 M3III
3376 BSC3376 1.744376 -0.583097 5.47 K6III
3592 BSC3592 2.671544 -42.756526 5.47 K4III
2941 BSC2941 6.017564 36.959282 5.47 B1V
3408 BSC3408 19.403047 7.662347 5.47 A7V
2711 BSC2711 0.104976 9.603610 5.47 A6V
2445 BSC2445 9.408709 -73.180744 5.47 G6V
4041 BSC4041 17.946639 -40.412365 5.47 F7V
2398 BSC2398 22.179551 41.952247 5.47 G1V
3852 BSC3852 8.061932 -31.672430 5.47 F1V
2558 BSC2558 11.713444 -33.166276 5.47 B4V
2645 BSC2645 4.793484 -33.706612 5.47 K9III
3796 BSC3796 11.600503 33.141339 5.47 K4III
1876 BSC1876 14.886692 43.955052 5.47 G9V
4093 BSC4093 4.143757 -4.159690 5.47 G0V
4022 BSC4022 16.053603 -5.812207 5.47 K4III
1799 BSC1799 8.266273 -25.429778 5.48 K2III
4102 BSC4102 11.710750 -3.023095 5.48 B4V
2975 BSC2975 18.858772 -20.674919 5.48 A5V
3686 BSC3686 18.808872 0.880536 5.48 M1III
3304 BSC3304 22.190701 -17.614085 5.48 A2V
3090 BSC3090 17.043481 -52.833833 5.48 F3V
3063 BSC3063 8.293941 38.600360 5.48 K6III
2853 BSC2853 18.886963 -16.111913 5.48 G0V
2659 BSC2659 5.137259 38.099321 5.48 A6V
3864 BSC3864 9.018224 -38.964557 5.48 M0III
2170 BSC2170 15.464777 -22.860017 5.48 K3III
3915 BSC3915 12.744075 29.191115 5.48 M3III
1918 BSC1918 7.434350 39.919195 5.48 A8V
3574 BSC3574 15.240590 3.853456 5.48 G9V
2662 BSC2662 13.163606 68.718108 5.48 F4V
2023 BSC2023 10.665452 -53.310690 5.48 K2III
1926 BSC1926 20.407170 12.706859 5.48 A8V
2998 BSC2998 11.560796 21.940432 5.48 M3III
3715 BSC3715 5.077747 46.357179 5.48 B0V
2714 BSC2714 19.182383 -25.374759 5.48 K0III
2775 BSC2775 7.329156 29.546736 5.48 K0III
3500 BSC3500 14.432823 3.696405 5.48 A1V
3822 BSC3822 23.762635 49.033329 5.48 M0III
2882 BSC2882 5.189589 -17.373256 5.48 K0III
2424 BSC2424 0.801672 -10.993006 5.49 M2III
3836 BSC3836 5.102957 5.114374 5.49 G4V
1939 BSC1939 19.769383 62.744822 5.49 G7V
2197 BSC2197 21.358345 -22.331656 5.49 A6V
2032 BSC2032 4.910247 -13.022470 5.49 M0III
3323 BSC3323 4.709176 -66.892020 5.49 F7V
2952 BSC2952 8.067832 -9.191277 5.49 G6V
3258 BSC3258 16.603646 33.146691 5.49 A8V
3106 BSC3106 0.134260 -66.854619 5.49 B3V
1645 BSC1645 2.594960 36.728275 5.49 B0V
1757 BSC1757 15.545018 48.417084 5.49 B0V
1754 BSC1754 1.228952 -14.472696 5.49 G8V
2245 BSC2245 16.669007 -22.506276 5.49 O6V
3824 BSC3824 7.102487 -13.313997 5.49 G8V
3612 BSC3612 18.627346 3.072861 5.49 A5V
2619 BSC2619 6.591285 -4.056828 5.49 M3III
3973 BSC3973 6.688976 -79.428890 5.49 K5III
1769 BSC1769 3.695379 51.279894 5.49 G6V
3104 BSC3104 19.537246 31.154513 5.49 B0V
3986 BSC3986 8.610278 16.301670 5.49 M2III
3467 BSC3467 7.129933 15.196579 5.49 F6V
2753 BSC2753 14.689904 59.548355 5.49 G9V
3684 BSC3684 4.823377 -12.304299 5.49 G1V
1707 BSC1707 22.258148 50.187175 5.49 K0III
4045 BSC4045 22.113542 20.305951 5.49 M1III
1967 BSC1967 20.908489 54.893241 5.49 K4III
2179 BSC2179 10.313889 7.630351 5.49 G7V
3161 BSC3161 8.727066 17.432466 5.50 G9V
3356 BSC3356 20.968048 32.151514 5.50 A4V
1714 BSC1714 10.452121 -19.364060 5.50 G8V
2579 BSC2579 10.590907 -56.166634 5.50 M3III
2646 BSC2646 22.734824 24.724006 5.50 K2III
3013 BSC3013 4.199924 -41.373105 5.50 M0III
3428 BSC3428 20.722635 32.862668 5.50 G0V
3098 BSC3098 17.137304 1.120415 5.50 M4III
3943 BSC3943 19.738135 -49.613050 5.50 M0III
3011 BSC3011 13.930036 48.223264 5.50 M2III
2532 BSC2532 22.647208 -55.087686 5.50 M4III
3456 BSC3456 4.253025 60.685825 5.50 K8III
1880 BSC1880 12.820557 9.453247 5.50 F1V
2523 BSC2523 18.283326 22.058067 5.50 M1III
2868 BSC2868 8.149755 0.079828 5.50 G7V
4028 BSC4028 7.710124 9.432601 5.50 F9V
3575 BSC3575 10.628892 -47.004400 5.50 B9V
2260 BSC2260 12.345198 77.457683 5.50 M2III
1970 BSC1970 12.877312 -33.640125 5.50 F9V
3501 BSC3501 23.060534 32.467497 5.50 M4III
3066 BSC3066 22.787890 -4.816842 5.50 B9V
3350 BSC3350 2.410570 47.739593 5.50 A5V
4117 BSC4117 20.989835 -39.676195 5.50 K2III
3648 BSC3648 1.953368 -55.623510 5.50 A6V
2482 BSC2482 8.905554 43.647099 5.50 F2V
2696 BSC2696 7.503752 67.812332 5.50 B1V
3874 BSC3874 19.028269 47.281113 5.50 K6III
2567 BSC2567 5.479940 -30.408852 5.50 K2III
1751 BSC1751 13.000484 2.022742 5.50 F9V
3928 BSC3928 13.956199 -45.937724 5.50 G8V
3709 BSC3709 4.657293 -11.607105 5.50 K0III
1630 BSC1630 9.220660 25.811177 5.50 M4III
2924 BSC2924 19.400753 30.724305 5.50 G2V
2565 BSC2565 21.971352 -51.256686 5.50 M3III
2605 BSC2605 18.559297 -21.241292 5.50 K9III
3417 BSC3417 10.489874 3.821808 5.50 G8V
2927 BSC2927 11.891021 -20.542140 5.51 F0V
3225 BSC3225 3.124667 -4.263226 5.51 G0V
3163 BSC3163 23.836099 -39.594371 5.51 M3III
2720 BSC2720 18.460483 -22.373261 5.51 F8V
2075 BSC2075 0.901346 -4.297207 5.51 F2V
2657 BSC2657 3.164079 9.367702 5.51 F3V
3121 BSC3121 2.683209 41.044572 5.51 M1III
3538 BSC3538 11.634673 -10.938070 5.51 M2III
3540 BSC3540 6.670128 2.832429 5.51 M0III
3269 BSC3269 0.264674 -7.146162 5.51 F3V
2169 BSC2169 14.302243 1.458129 5.51 K8III
2268 BSC2268 20.211985 -39.178610 5.51 K1III
2136 BSC2136 7.222985 4.531844 5.51 M0III
1796 BSC1796 6.891654 6.666957 5.51 G1V
3450 BSC3450 6.552691 27.886915 5.51 B4V
2149 BSC2149 8.266519 -32.085793 5.51 M1III
3808 BSC3808 16.679166 -5.498112 5.51 F4V
3003 BSC3003 17.455019 -3.526496 5.51 F8V
2693 BSC2693 17.514543 80.335264 5.51 F6V
3967 BSC3967 21.492483 -9.310799 5.51 F0V
3150 BSC3150 19.637088 32.416160 5.51 G0V
3328 BSC3328 6.185761 9.799436 5.51 G0V
3810 BSC3810 21.044606 8.204295 5.51 G1V
4090 BSC4090 5.227179 -38.779960 5.51 K0III
2448 BSC2448 10.809362 -78.778920 5.51 K5III
4032 BSC4032 13.988865 29.906146 5.51 G7V
2954 BSC2954 20.947112 22.905677 5.51 K4III
2405 BSC2405 17.112677 20.920884 5.51 K7III
2347 BSC2347 1.032335 21.441989 5.51 F4V
3654 BSC3654 6.154041 -35.353832 5.51 M0III
2776 BSC2776 22.213064 37.542030 5.51 K4III
2240 BSC2240 8.988868 -56.344327 5.51 A4V
2855 BSC2855 13.128676 -8.703646 5.51 F8V
1675 BSC1675 12.770667 -52.910825 5.52 M0III
1834 BSC1834 17.133950 74.693857 5.52 A8V
2604 BSC2604 4.492155 -54.109219 5.52 A7V
3360 BSC3360 15.703352 29.809509 5.52 M3III
2909 BSC2909 22.876261 -74.029135 5.52 F8V
3731 BSC3731 9.518611 -9.722761 5.52 A1V
2224 BSC2224 2.059459 -21.312034 5.52 G2V
2933 BSC2933 6.879822 59.623000 5.52 M2III
3651 BSC3651 9.848102 -15.862663 5.52 G5V
3279 BSC3279 20.213990 -37.259314 5.52 M1III
2884 BSC2884 13.689266 9.847599 5.52 M0III
1639 BSC1639 10.330126 -2.136960 5.52 A8V
4030 BSC4030 1.723381 -41.414739 5.52 K7III
2554 BSC2554 3.077519 15.245007 5.52 M1III
4007 BSC4007 4.897753 31.558087 5.52 K9III
3514 BSC3514 14.307313 -2.774912 5.52 G0V
2821 BSC2821 1.948507 8.905112 5.52 M0III
3220 BSC3220 21.854700 64.704597 5.52 F8V
2048 BSC2048 19.168497 65.479911 5.52 B2V
2327 BSC2327 13.845829 43.383708 5.52 K6III
2458 BSC2458 17.552282 -63.589468 5.52 K9III
2134 BSC2134 5.134411 25.111170 5.52 F6V
2992 BSC2992 17.176236 -7.638002 5.52 K6III
4060 BSC4060 11.717787 15.890392 5.52 K5III
3721 BSC3721 8.095909 8.682017 5.52 B3V
3131 BSC3131 2.648521 -8.933978 5.52 K8III
2622 BSC2622 14.695521 -62.663336 5.52 B6V
1888 BSC1888 21.410688 -38.901478 5.52 K7III
3914 BSC3914 14.714927 -3.236968 5.52 G5V
2089 BSC2089 15.216018 -27.326583 5.53 A8V
2861 BSC2861 21.227917 -55.189362 5.53 F5V
2576 BSC2576 10.373450 6.533336 5.53 O6V
3918 BSC3918 21.151797 -31.826442 5.53 A4V
2780 BSC2780 16.898056 -40.824870 5.53 K3III
3278 BSC3278 5.872469 69.798546 5.53 M1III
2971 BSC2971 5.735678 11.856405 5.53 G6V
3378 BSC3378 4.189101 65.855729 5.53 K6III
2456 BSC2456 16.804501 6.316363 5.53 B1V
1815 BSC1815 11.019819 24.417890 5.53 G3V
1979 BSC1979 4.146952 -36.012745 5.53 F5V
3507 BSC3507 0.357846 13.286485 5.53 F2V
2217 BSC2217 3.226346 84.133223 5.53 O5V
3226 BSC3226 1.950699 78.100970 5.53 O6V
3784 BSC3784 16.296892 1.318878 5.53 K7III
3558 BSC3558 7.028055 -36.349037 5.53 M4III
3082 BSC3082 11.842663 -6.718217 5.53 O6V
1954 BSC1954 20.633491 54.437811 5.53 B5V
3371 BSC3371 7.899281 30.952899 5.53 K7III
3669 BSC3669 17.271934 70.297584 5.53 K6III
2538 BSC2538 15.411100 -5.378075 5.53 M4III
3423 BSC3423 15.523336 40.945608 5.53 G9V
2010 BSC2010 22.480510 -28.318433 5.53 F5V
3267 BSC3267 11.469055 13.022699 5.53 A5V
3244 BSC3244 17.237712 41.227181 5.53 A9V
1734 BSC1734 23.940330 66.447909 5.54 K5III
2504 BSC2504 0.485220 16.731353 5.54 M0III
3687 BSC3687 2.702572 22.636334 5.54 G3V
3076 BSC3076 1.823047 -57.046636 5.54 G1V
2516 BSC2516 22.633171 -16.083820 5.54 G0V
2384 BSC2384 11.047848 6.693211 5.54 M3III
1772 BSC1772 5.695625 82.882279 5.54 F3V
3636 BSC3636 17.779425 -28.014954 5.54 A5V
3152 BSC3152 23.807928 -34.437496 5.54 G1V
2263 BSC2263 15.749757 -3.390193 5.54 G3V
1998 BSC1998 18.019473 50.432756 5.54 M4III
2972 BSC2972 4.956316 -38.768917 5.54 M0III
3137 BSC3137 13.093501 -1.258617 5.54 K1III
2394 BSC2394 19.170524 -4.512266 5.54 G3V
3201 BSC3201 14.247662 -39.362505 5.54 G9V
4078 BSC4078 17.085170 -31.272495 5.54 F6V
2425 BSC2425 2.186026 -8.158038 5.54 F5V
3644 BSC3644 7.003757 -6.360789 5.54 G6V
2455 BSC2455 7.548422 -10.264943 5.54 A2V
3010 BSC3010 8.620642 16.187510 5.54 F4V
1735 BSC1735 11.844009 -7.468214 5.54 K9III
3009 BSC3009 19.555008 -43.371943 5.54 M2III
3370 BSC3370 23.036025 60.262920 5.54 G5V
4085 BSC4085 22.228534 -64.767221 5.55 K5III
4100 BSC4100 15.994239 81.113194 5.55 B3V
2911 BSC2911 17.379263 -13.366679 5.55 F3V
3441 BSC3441 15.014150 -66.213991 5.55 M4III
2095 BSC2095 5.038364 59.881763 5.55 G9V
2213 BSC2213 19.046189 16.767145 5.55 K5III
3151 BSC3151 0.135651 -77.088098 5.55 F8V
1650 BSC1650 12.536958 -24.491052 5.55 G6V
3281 BSC3281 5.542569 4.397699 5.55 F8V
3249 BSC3249 9.550975 -23.070248 5.55 A3V
1742 BSC1742 6.101228 6.081970 5.55 K9III
3823 BSC3823 18.666998 -52.413759 5.55 A5V
2085 BSC2085 9.471098 -32.130374 5.55 K3III
1919 BSC1919 23.311139 -26.650097 5.55 F7V
3555 BSC3555 10.792316 -23.265480 5.55 M4III
2995 BSC2995 9.146624 -22.476991 5.55 M3III
2843 BSC2843 13.842260 -25.505902 5.55 F8V
3999 BSC3999 17.914062 39.690298 5.55 M4III
4020 BSC4020 6.389479 -6.716838 5.55 A6V
2768 BSC2768 12.143600 45.419130 5.55 K3III
3544 BSC3544 1.744372 35.363323 5.55 G2V
2524 BSC2524 7.898301 -3.297853 5.55 K9III
2835 BSC2835 4.383913 -37.550911 5.55 G6V
2201 BSC2201 11.312835 -65.686498 5.55 F9V
3739 BSC3739 21.620829 -68.687050 5.55 F3V
3569 BSC3569 5.582271 -62.615735 5.55 K4III
3174 BSC3174 5.772842 33.500744 5.56 M2III
2357 BSC2357 16.767768 -54.202163 5.56 G2V
2632 BSC2632 13.521210 32.445393 5.56 O5V
2824 BSC2824 16.130025 32.579029 5.56 K4III
3362 BSC3362 5.815915 -64.219337 5.56 G2V
3941 BSC3941 21.961842 -3.452451 5.56 K2III
2392 BSC2392 9.977071 -12.277556 5.56 K6III
2073 BSC2073 18.289720 58.539617 5.56 K9III
3903 BSC3903 5.225497 16.461620 5.56 M1III
3845 BSC3845 5.076687 -5.425371 5.56 A6V
3763 BSC3763 6.451130 -36.143703 5.56 F1V
2525 BSC2525 12.814957 48.825172 5.56 K0III
3664 BSC3664 21.849866 -59.053339 5.56 A5V
3262 BSC3262 16.348141 -60.909123 5.56 K8III
3520 BSC3520 9.043671 43.106015 5.56 F6V
3717 BSC3717 18.567279 21.524897 5.56 F6V
1688 BSC1688 11.792378 -14.418672 5.56 F7V
3515 BSC3515 7.067138 42.239072 5.56 F3V
3898 BSC3898 6.125549 47.535985 5.56 M3III
2076 BSC2076 6.843196 -21.903806 5.56 G3V
3038 BSC3038 12.818441 -57.716214 5.56 G2V
2886 BSC2886 2.653900 18.347900 5.56 F5V
2813 BSC2813 9.588155 35.043785 5.56 M3III
2306 BSC2306 1.395211 -12.993274 5.57 F6V
3153 BSC3153 4.389451 -60.426759 5.57 F9V
3825 BSC3825 5.875415 33.520355 5.57 F0V
2727 BSC2727 23.553051 -29.062977 5.57 G4V
3741 BSC3741 13.779888 -36.831783 5.57 B3V
2644 BSC2644 21.113293 -28.383333 5.57 B3V
1679 BSC1679 4.579428 1.453630 5.57 K4III
3998 BSC3998 9.885539 -27.471558 5.57 F1V
1700 BSC1700 3.037067 45.072556 5.57 A5V
1864 BSC1864 19.111204 -78.469716 5.57 G7V
4073 BSC4073 13.210329 -62.091691 5.57 F1V
3059 BSC3059 2.157079 7.471646 5.57 F2V
1929 BSC1929 14.167178 20.418957 5.57 M3III
2277 BSC2277 11.884118 66.846343 5.57 A2V
3821 BSC3821 18.293539 32.511548 5.57 M4III
2779 BSC2779 12.725941 -6.103888 5.57 G9V
